mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05377669334411621,0.004471366612241704,0.04671945571899414,0.01524189600621115,liblinear,,0.003359818286283781,"{'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': np.float64(0.003359818286283781)}",0.9153439153439153,0.8968253968253969,0.8544973544973545,0.8597883597883598,0.9047619047619048,0.8862433862433863,0.024533382263216146,32
0.06567974090576172,0.00646121156910017,0.03772425651550293,0.0036404109874005825,lbfgs,,16.23776739188721,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(16.23776739188721)}",0.9021164021164021,0.9126984126984127,0.8783068783068783,0.888888888888889,0.8599439775910364,0.8883909119203237,0.018386992483342926,27
0.05387988090515137,0.005804290377979947,0.035429859161376955,0.00028295247771265405,liblinear,,0.0018329807108324356,"{'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': np.float64(0.0018329807108324356)}",0.9074074074074074,0.8941798941798941,0.8544973544973545,0.8518518518518519,0.9047619047619048,0.8825396825396826,0.02439606747809206,40
0.05297870635986328,0.0037299282344372543,0.03663492202758789,0.0009075550200042313,liblinear,balanced,0.7847599703514607,"{'model__solver': 'liblinear', 'model__class_weight': 'balanced', 'model__C': np.float64(0.7847599703514607)}",0.917989417989418,0.9259259259259258,0.8915343915343915,0.8915343915343916,0.8739495798319328,0.900186741363212,0.019065969040936385,13
0.06330204010009766,0.009693056455996165,0.03681302070617676,0.0017338886478681101,lbfgs,balanced,0.12742749857031335,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(0.12742749857031335)}",0.9259259259259259,0.9285714285714286,0.8968253968253967,0.888888888888889,0.8907563025210083,0.9061935885465295,0.017410676660216843,3
0.0679060935974121,0.009307765689538299,0.03547458648681641,0.00041601694417916997,lbfgs,balanced,8.858667904100823,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(8.858667904100823)}",0.8968253968253967,0.917989417989418,0.8783068783068784,0.888888888888889,0.8571428571428571,0.8878306878306879,0.020119738986065137,28
0.05845022201538086,0.0032020935981475884,0.03531203269958496,0.0006871115506957018,lbfgs,balanced,0.42813323987193913,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(0.42813323987193913)}",0.917989417989418,0.9312169312169312,0.8915343915343915,0.8915343915343915,0.8823529411764706,0.9029256146903206,0.018493629098295356,8
0.08011817932128906,0.01333260339433807,0.053419065475463864,0.011450625539703116,lbfgs,balanced,2.636650898730358,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(2.636650898730358)}",0.9074074074074074,0.917989417989418,0.8888888888888888,0.8915343915343915,0.8627450980392156,0.8937130407718643,0.018782495038413845,18
0.08470749855041504,0.018281247148859196,0.05659408569335937,0.014352301909326303,lbfgs,,0.011288378916846888,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(0.011288378916846888)}",0.917989417989418,0.9179894179894179,0.8597883597883598,0.8677248677248678,0.8991596638655462,0.892530345471522,0.024607421490389754,22
0.08253264427185059,0.028086945318299392,0.05064234733581543,0.021600266823146034,liblinear,balanced,0.23357214690901212,"{'model__solver': 'liblinear', 'model__class_weight': 'balanced', 'model__C': np.float64(0.23357214690901212)}",0.9259259259259259,0.9285714285714286,0.8968253968253969,0.888888888888889,0.8935574229691877,0.9067538126361656,0.016943741820178323,2
0.11467704772949219,0.007034455848353888,0.06918435096740723,0.003978404164863413,lbfgs,,4.832930238571752,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(4.832930238571752)}",0.9074074074074074,0.9153439153439153,0.8862433862433862,0.8915343915343915,0.8655462184873949,0.893215063803299,0.017367225661423374,20
