mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2919060230255127,0.011443504138203131,0.037676000595092775,0.00162898222582977,1.0,0.0,0.0,800,4,0.05,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 800, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.9074074074074074,0.8783068783068784,0.8174603174603174,0.8703703703703703,0.834733893557423,0.8616557734204793,0.03201387652034097,60
0.31896142959594725,0.009383272905608985,0.038314008712768556,0.0019719228307450323,0.8,1.0,0.5,1000,3,0.1,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 1000, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.9074074074074073,0.91005291005291,0.8227513227513228,0.8571428571428572,0.8599439775910364,0.8714596949891067,0.03314140430407969,51
0.19506731033325195,0.01260068691646249,0.03876938819885254,0.0021694972491530236,0.8,2.0,0.1,300,5,0.05,0.7,"{'model__subsample': 0.8, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.9232804232804233,0.9126984126984127,0.8412698412698413,0.8756613756613757,0.8683473389355741,0.8842514783691253,0.03002212269980253,8
0.20881619453430175,0.005905303781767079,0.04469590187072754,0.008250090262417924,1.0,1.0,0.1,300,5,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.9285714285714286,0.8994708994708995,0.8227513227513227,0.8835978835978837,0.8655462184873949,0.8799875505757859,0.03532015412722805,16
0.19667420387268067,0.008332104680792467,0.03963327407836914,0.0016114005873224435,1.0,1.0,0.0,300,4,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.9206349206349206,0.9021164021164021,0.828042328042328,0.8809523809523809,0.8599439775910365,0.8783380018674137,0.03233967089574489,20
0.32698488235473633,0.01382642310960312,0.03924155235290527,0.0017195306209274947,0.7,0.0,0.0,1000,5,0.05,0.8,"{'model__subsample': 0.7, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 1000, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.917989417989418,0.8941798941798942,0.8571428571428572,0.8650793650793651,0.8291316526610644,0.8727046374105198,0.030694679632109145,42
0.3637979984283447,0.01709645736091177,0.03898453712463379,0.0013698111841294,0.7,0.5,0.5,1000,3,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.5, 'model__n_estimators': 1000, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.9232804232804233,0.8968253968253969,0.8201058201058201,0.8650793650793651,0.8655462184873949,0.87416744475568,0.03465557803852025,35
0.5985794544219971,0.014601374491965738,0.039442586898803714,0.00218048819904613,1.0,2.0,0.5,1000,5,0.01,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 1000, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",0.9285714285714286,0.9021164021164022,0.8253968253968254,0.8809523809523809,0.8487394957983193,0.8771553065670712,0.03678991802538729,28
0.15803933143615723,0.009137781380622042,0.04307150840759277,0.010697747363590481,0.8,0.5,0.1,300,5,0.1,0.7,"{'model__subsample': 0.8, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7}",0.9179894179894179,0.8835978835978836,0.8253968253968254,0.8597883597883598,0.8571428571428571,0.8687830687830687,0.03078801381158974,56
0.38141160011291503,0.022134845322145765,0.041231536865234376,0.003165342220109239,0.8,1.0,0.0,500,6,0.01,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.9417989417989419,0.9074074074074074,0.843915343915344,0.8756613756613757,0.8599439775910364,0.8857454092748209,0.03500970337022888,6
