mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.276248502731323,0.39889158329475705,0.21399011611938476,0.03474069876881134,600,10,1,sqrt,,,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': None}",0.9259259259259259,0.8968253968253969,0.8703703703703703,0.8677248677248677,0.896358543417367,0.8914410208527856,0.021207595062288684,9
1.4987818717956543,0.033500608347858646,0.14358091354370117,0.008665113378988308,400,10,5,0.7,6,,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.7, 'model__max_depth': 6, 'model__class_weight': None}",0.9206349206349207,0.8994708994708995,0.8518518518518519,0.888888888888889,0.8655462184873949,0.885278555866791,0.024377199719743184,31
1.0275901794433593,0.23482725008192273,0.15091233253479003,0.05542441666849467,200,2,5,0.5,,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 0.5, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.9312169312169313,0.8915343915343915,0.8703703703703703,0.880952380952381,0.8683473389355741,0.8884842826019297,0.022916030551411674,20
1.891760492324829,0.34750863072271565,0.2077953338623047,0.07578127020420646,400,4,1,sqrt,4,,"{'model__n_estimators': 400, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 4, 'model__class_weight': None}",0.9206349206349206,0.8941798941798942,0.873015873015873,0.8730158730158731,0.907563025210084,0.8936819172113291,0.018833843470006523,4
1.735520029067993,0.040127651097141864,0.15830001831054688,0.012207038779368164,400,2,1,1.0,6,,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 6, 'model__class_weight': None}",0.9417989417989417,0.8968253968253967,0.8306878306878307,0.8624338624338624,0.8375350140056023,0.8738562091503267,0.04112664980896775,49
4.101703739166259,1.1077715635153889,0.2851554870605469,0.06862058063873602,800,2,1,0.7,6,balanced,"{'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': 6, 'model__class_weight': 'balanced'}",0.9312169312169313,0.8994708994708995,0.8465608465608466,0.8624338624338624,0.8515406162464986,0.8782446311858075,0.032322023657145364,45
0.6939115047454834,0.028978204506101415,0.09608206748962403,0.004445425627297368,200,10,3,sqrt,4,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 4, 'model__class_weight': 'balanced'}",0.925925925925926,0.8941798941798942,0.873015873015873,0.8783068783068783,0.907563025210084,0.8957983193277311,0.019358154109995557,1
0.6823828220367432,0.031642814366470054,0.09772782325744629,0.008133475498582765,200,6,2,log2,4,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 6, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 4, 'model__class_weight': 'balanced'}",0.9338624338624338,0.888888888888889,0.8862433862433863,0.8571428571428571,0.9047619047619048,0.8941798941798942,0.025097441747368093,3
2.751466655731201,0.6936742749288358,0.2821333885192871,0.07835564759499507,600,6,3,sqrt,6,,"{'model__n_estimators': 600, 'model__min_samples_split': 6, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 6, 'model__class_weight': None}",0.9153439153439153,0.8941798941798942,0.8703703703703703,0.8624338624338623,0.8991596638655461,0.8882975412387177,0.01936185669292477,21
3.727606773376465,1.0666227106945454,0.3047183990478516,0.12916939224631835,800,2,5,sqrt,6,balanced,"{'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 6, 'model__class_weight': 'balanced'}",0.9153439153439153,0.8915343915343915,0.8703703703703703,0.8677248677248678,0.9075630252100839,0.8905073140367257,0.019148604630532116,12
1.3464509963989257,0.05318524657241192,0.1410581111907959,0.012379934388962397,400,10,5,sqrt,8,balanced,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__class_weight': 'balanced'}",0.917989417989418,0.8915343915343916,0.880952380952381,0.8756613756613757,0.9019607843137254,0.8936196700902584,0.015170812362626473,6
4.082666730880737,0.6345884857611505,0.2898547649383545,0.10082941121047857,800,10,3,1.0,8,,"{'model__n_estimators': 800, 'model__min_samples_split': 10, 'model__min_samples_leaf': 3, 'model__max_features': 1.0, 'model__max_depth': 8, 'model__class_weight': None}",0.9338624338624338,0.8968253968253969,0.8359788359788359,0.8783068783068783,0.8515406162464986,0.8793028322440086,0.034445584947833806,41
1.978074598312378,0.05971331582348646,0.18555073738098143,0.007935519831323607,600,6,2,log2,8,balanced,"{'model__n_estimators': 600, 'model__min_samples_split': 6, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 8, 'model__class_weight': 'balanced'}",0.9206349206349206,0.8968253968253969,0.8677248677248677,0.8571428571428571,0.907563025210084,0.8899782135076253,0.02395543879796468,14
2.2969922065734862,0.5461941958316732,0.20812344551086426,0.05736831546611355,400,2,5,0.7,6,,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 0.7, 'model__max_depth': 6, 'model__class_weight': None}",0.9206349206349207,0.8994708994708995,0.8518518518518519,0.888888888888889,0.8655462184873949,0.885278555866791,0.024377199719743184,31
3.4559958934783936,0.2979986655739796,0.2602579593658447,0.048752272984980256,800,6,3,1.0,12,balanced,"{'model__n_estimators': 800, 'model__min_samples_split': 6, 'model__min_samples_leaf': 3, 'model__max_features': 1.0, 'model__max_depth': 12, 'model__class_weight': 'balanced'}",0.9206349206349207,0.8941798941798942,0.8492063492063492,0.8862433862433863,0.8431372549019608,0.8786803610333023,0.028947019591300225,44
3.6518910408020018,0.9632597309358992,0.25702481269836425,0.043142258272746765,800,10,5,0.5,4,,"{'model__n_estimators': 800, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.5, 'model__max_depth': 4, 'model__class_weight': None}",0.925925925925926,0.8968253968253969,0.8518518518518519,0.880952380952381,0.8739495798319328,0.8859010270774977,0.02469010694791589,27
2.0003385066986086,0.03329848692983579,0.20820131301879882,0.055925191961028346,600,2,2,sqrt,12,,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 12, 'model__class_weight': None}",0.9206349206349206,0.9021164021164021,0.8677248677248677,0.8677248677248677,0.8935574229691877,0.8903516962340493,0.0204436073396062,13
3.034500074386597,0.8234835088105277,0.25892930030822753,0.06626078674233132,600,6,1,0.5,4,balanced,"{'model__n_estimators': 600, 'model__min_samples_split': 6, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 4, 'model__class_weight': 'balanced'}",0.933862433862434,0.8994708994708995,0.8439153439153438,0.8677248677248677,0.8711484593837535,0.8832244008714596,0.03085263344122367,36
